N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,11905,0,0.17890564451383628,0.0981044799999988,0.3923,0.1064,0.09560873469387556,0.04104857142857184,0.33583343841057056,2.6621786520959305
150000,5000,10728,0,0.14156660569061885,0.1011086399999986,0.4051,0.1059,0.09839020408163034,0.05367281632653107,0.3221436016693479,4.644413694659279
150000,5000,8316,0,0.19873852704538364,0.09775807999999864,0.3956,0.0977,0.09707346938775264,0.03361355102040781,0.36324120645935887,1.977907106439481
150000,5000,8901,0,0.09084570675488435,0.10203431999999828,0.418,0.1815,0.10117379591836455,0.06890514285714262,0.30842440671695215,2.5646152225959606
150000,5000,7481,0,0.12505561335303172,0.09764255999999921,0.3806,0.1806,0.095517632653059,0.0563536326530613,0.45487068642774514,1.455916338567268
150000,5000,8213,0,0.25524197246625957,0.10145615999999802,0.4121,0.1048,0.09809771428571182,0.02229387755102009,0.2427747242078202,-0.17239303440512133
150000,5000,9541,0,0.3202266351025287,0.0914839999999987,0.3818,0.0001,0.09420465306122207,4e-06,0.38547732561014375,-1.1027964465679785
150000,5000,6154,0,0.2736360346114608,0.09944655999999827,0.4148,0.0398,0.09947738775509939,0.01395281632653065,0.27194032823257636,2.0748640831794067
150000,5000,6224,0,0.06794672369098786,0.0982319199999983,0.4119,0.1867,0.09730783673469101,0.07415648979591873,0.21319336409697542,2.8526123872114373
150000,5000,9155,0,0.16101001322205133,0.1022744799999986,0.3915,0.1402,0.09851591836734454,0.04929893877550971,0.4658981235700624,2.1041870649309056
150000,5000,9415,0,0.16715841878498938,0.09857807999999829,0.3957,0.104,0.0950346938775482,0.04564873469387798,0.2776493812581454,3.5322099739554877
150000,5000,9252,0,0.1572981555029056,0.10482103999999778,0.3908,0.1335,0.09559077551020156,0.05706285714285778,0.3504328791479238,3.34626511862481
150000,5000,9190,0,0.17227602957741173,0.10081663999999875,0.3948,0.1043,0.09875330612244668,0.043616489795918374,0.4412454258943054,3.192455114369451
150000,5000,10028,0,0.30558509046939275,0.09903479999999863,0.3961,0.0218,0.09714914285714002,0.008200163265306159,0.36129311368339706,2.4754949540939566
150000,5000,10931,0,0.21057192906458833,0.09913551999999871,0.3903,0.1019,0.09762351020407924,0.03167134693877534,0.4410651304798612,1.4338169654250206
150000,5000,9111,0,0.14127772476649736,0.09774439999999887,0.3893,0.1373,0.09710334693877314,0.049986693877550614,0.42967823507395414,2.3079100342852708
150000,5000,5409,0,0.1277910405268392,0.1036988799999988,0.4147,0.1751,0.10010530612244624,0.06029159183673497,0.29774485940389894,1.985339983382625
150000,5000,9928,0,0.17162646827945016,0.10258215999999862,0.3845,0.1005,0.09664179591836536,0.048415265306122564,0.4610815611196461,4.232932869060511
150000,5000,9741,0,0.3380106035131131,0.09790559999999907,0.375,0.019,0.09400987755101811,0.00286897959183672,0.4503851954552186,-1.167355518954124
150000,5000,7454,0,0.23632131843204907,0.10323423999999869,0.3776,0.1411,0.09756767346938533,0.02996840816326589,0.5767099285977119,-0.178045484127504
150000,5000,8085,0,0.34766969509999257,0.10109799999999844,0.4079,0.0003,0.0978480816326506,2.3510204081632653e-05,0.27296105051731434,-1.340933454680884
150000,5000,6076,0,0.12814378684041117,0.09813511999999869,0.4072,0.1759,0.0960324897959157,0.055649795918368127,0.20653944350713074,1.526951670500339
150000,5000,9844,0,0.15183453354809728,0.10057567999999863,0.3975,0.1433,0.10001493877550774,0.04810497959183655,0.4654578362193834,1.843035716368303
150000,5000,7240,0,0.1582780569864758,0.10356007999999865,0.4129,0.1826,0.10014653061224225,0.05036791836734793,0.31665701015657266,0.8623256199304908
150000,5000,6969,0,0.09385478509307188,0.10198559999999898,0.4041,0.1772,0.10066448979591605,0.06830448979591884,0.42439301898571985,2.6599897808856277
150000,5000,8935,0,0.1798685096874726,0.09640375999999881,0.3754,0.1093,0.09228808163265052,0.04173322448979685,0.3707172521162774,2.597329056698517
150000,5000,7620,0,0.12455265603849242,0.09206463999999831,0.3936,0.1472,0.09137812244897722,0.0519637551020409,0.14618847701964532,2.1270653600194183
150000,5000,9126,0,0.1744673016648256,0.09925519999999903,0.3862,0.1014,0.09696832653060976,0.0425645714285716,0.45680097090201266,3.2181456416206022
